Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",C_Disc_D5.0mm_W2.5mm_P5.00mm,3,1uF,C1620132
C3,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,100nF,C907942
C5,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,0.1uF,C2979769
J1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,USB_C_Receptacle_USB2.0_16P,C2765186
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,5.1k,C1366782
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1k,C1364628
"SW1, SW2, SW3, SW4",SW_PUSH-12mm,4,SW_Push,C879472
U1,SOT-23-3,1,XC6206PxxxMR,C136701
U2,SOIC-20_L13.0-W7.6-P1.27-LS10.3-BL,1,ATtiny1616-S,C614136
U3,MSOP-10_3x3mm_P0.5mm,1,CH340X,C3035748
U4,OLED-TH_L27.8-W27.2-P2.54_C9900033791,1,HS96L03W2C03,C5248080
